8404|amogh|amogh@|123412341234|NONE|CREDIT|4500.00|19-02-2026 10:44:15 PM
8404|amogh|amogh@|123412341234|Q12345678Q|CREDIT|1200.00|19-02-2026 10:44:34 PM
8404|amogh|amogh@|123412341234|Q12345678Q|DEBIT|370.00|19-02-2026 10:44:39 PM
8404|amogh|amogh@|123412341234|Q12345678Q|CREDIT|34000.00|19-02-2026 10:44:43 PM
8780|vinit|vinit@123|567856785678|NONE|CREDIT|4500.00|19-02-2026 10:46:22 PM
8780|vinit|vinit@123|567856785678|1234123412|CREDIT|1200.00|19-02-2026 10:46:35 PM
8780|vinit|vinit@123|567856785678|1234123412|CREDIT|5600000.00|19-02-2026 10:46:39 PM
8780|vinit|vinit@123|567856785678|1234123412|DEBIT|3400.00|19-02-2026 10:46:44 PM
7681|Aryan Navene|aryan@123|123412341234|NONE|CREDIT|60000.00|20-02-2026 10:37:15 AM
7681|Aryan Navene|aryan@123|123412341234|Q12345678Q|DEBIT|59999.00|20-02-2026 10:37:40 AM
7681|Aryan Navene|aryan@123|123412341234|Q12345678Q|CREDIT|500000.00|20-02-2026 10:38:17 AM
7681|Aryan Navene|aryan@123|123412341234|Q12345678Q|DEBIT|350000.00|20-02-2026 10:39:04 AM
8404|amogh|amogh@|123412341234|Q12345678Q|CREDIT|350000.00|20-02-2026 10:39:04 AM
3573|deepansh|deepansh@gmail|345634563456|NONE|CREDIT|12000.00|20-02-2026 11:00:35 AM
3573|deepansh|deepansh@gmail|345634563456|Q23456781Q|CREDIT|23000.00|20-02-2026 11:00:50 AM
3573|deepansh|deepansh@gmail|345634563456|Q23456781Q|DEBIT|100.00|20-02-2026 11:00:53 AM
3573|deepansh|deepansh@gmail|345634563456|Q23456781Q|CREDIT|120000.00|20-02-2026 11:00:55 AM
3573|deepansh|deepansh@gmail|345634563456|Q23456781Q|DEBIT|1200.00|20-02-2026 11:01:21 AM
8404|amogh|amogh@|123412341234|Q12345678Q|CREDIT|1200.00|20-02-2026 11:01:21 AM
5039|adi sinha|adi@email.com|123456789012|NONE|CREDIT|10000.00|20-02-2026 11:10:14 AM
5039|adi sinha|adi@email.com|123456789012|1234567890|CREDIT|10000.00|20-02-2026 11:10:33 AM
5039|adi sinha|adi@email.com|123456789012|1234567890|DEBIT|1234.00|20-02-2026 11:12:46 AM
8404|amogh|amogh@|123412341234|Q12345678Q|CREDIT|1234.00|20-02-2026 11:12:46 AM
